com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
7084,4,0,14,2023-12-07 13:21:00.000,,,2023-12-07 13:21:11.240,2023-12-07 13:21:11.240,14,1.5555556,11.02,0.46,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 13:22:00.000,a5170710-b5bb-4632-ac9c-42ac29c95edb,
18101,4,0,36,2023-12-07 13:23:00.000,,,2023-12-07 13:35:03.299,2023-12-07 13:35:03.299,36,1.5833334,28.66,1.2,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 13:24:00.000,4ca5b1c3-a596-4e15-bbed-8b6d78138af4,
4457,4,0,6,2023-12-07 14:51:00.000,,,2023-12-07 14:51:11.440,2023-12-07 14:51:11.440,6,0.9444444,4.21,0.22,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 14:52:00.000,61a8542a-1595-4e8d-9d23-205e53003653,
6592,4,0,11,2023-12-07 14:57:00.000,,,2023-12-07 15:15:05.055,2023-12-07 15:15:05.055,11,1.25,8.24,0.41,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 14:58:00.000,15d6d448-882d-451a-a060-2e497b4acfa6,
6314,4,0,9,2023-12-07 14:58:00.000,,,2023-12-07 15:15:05.131,2023-12-07 15:15:05.131,9,1.0277778,6.49,0.33,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 14:59:00.000,e088abe4-b56a-42d0-b77c-365c57275a92,
55768,4,0,95,2023-12-07 14:59:00.000,,,2023-12-07 15:15:05.210,2023-12-07 15:15:05.210,95,1.2777778,71.26,3.65,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:00:00.000,7f339373-4819-4c0b-80d5-c92be85c0084,
60000,4,0,108,2023-12-07 15:00:00.000,,,2023-12-07 15:15:05.265,2023-12-07 15:15:05.265,108,1.3615,81.69,4.32,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:01:00.000,555b2625-fb2f-4fd4-a455-5c49e3f38d30,
60000,4,0,109,2023-12-07 15:01:00.000,,,2023-12-07 15:15:05.343,2023-12-07 15:15:05.343,109,1.3798333,82.79,4.36,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:02:00.000,4db24e6c-3a19-44cf-9dce-7c80f7dccc46,
60000,4,0,112,2023-12-07 15:02:00.000,,,2023-12-07 15:15:20.172,2023-12-07 15:15:20.172,112,1.427,85.62,4.12,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:03:00.000,5afff935-c82a-402a-9c37-713ab973296a,
53559,4,0,78,2023-12-07 15:03:00.000,,,2023-12-07 15:15:20.279,2023-12-07 15:15:20.279,108,1.3611112,72.9,4.1,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:04:00.000,7aab34d8-8e43-4163-9dda-fd5d094e28e1,
